Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Pharmaceutical Retailers,Healthcare,128.09,99,60,69,35,"MEDS,LFMD,BIMI,LFMDP,HITI,SSY,WBA,YI,GNLN,PETS,CJJD"
2,Drug Manufacturersâ€”Specialty & Generic,Healthcare,119.39,99,91,97,96,"AQST,AMRX,ALIM,ANIP,AMPH,ACB,AGRX"
3,Insurance—Property & Casualty,Financial Services,117.27,98,83,79,76,"ROOT,KINS,HCI,HRTG,MCY,KNSL,PLMR,PGR,WRB,STC,TRV,CB,UVE,L,KMPR,WTM,CNA,AXS,SIGIP,CINF,NMIH,NODK,RLI,MKL,SAFT,HMN,THG,SIGI,GBLI,LMND,UFCS,DGICB,DGICA,PRA,CNFR"
4,Coking Coal,Basic Materials,114.11,98,99,99,95,"METC,AMR,HCC,SXC,AREC"
5,Waste Management,Industrials,112.35,97,72,38,59,"JAN,WM,RSG,WCN,CLH,SRCL,MEG,QRHC,CWST,AWX,PESI,GFL,AQMS"
6,Engineering & Construction,Industrials,111.52,96,96,91,98,"ORN,STRL,FIX,MTRX,EME,IESC,TPC,BLD,LMB,ROAD,WLDN,APG,DY,PRIM,GVA,PWR,STN,GLDD,J,AGX,TTEK,MYRG,FLR,RCMT,JCI,KBR,ACM,MTZ,BBCP,NVEE,ENG,AMRC"
7,Advertising Agencies,Communication Services,111.1,96,87,90,38,"CPOP,WIMI,INUV,ADV,CMPR,QNST,ICLK,EEX,NCMI,CRTO,MGNI,CCO,OMC,TSQ,DLX,IPG,XNET,WPP,CNET,MCHX,FLNT,BAOS"
8,Residential Construction,Consumer Cyclical,110.13,95,98,99,96,"DFH,TOL,MDC,MHO,PHM,KBH,HOV,BZH,TMHC,LEN,DHI,CVCO,NVR,CCS,GRBK,SKY,LEGH,MTH,TPH,LGIH"
9,Building Materials,Basic Materials,109.74,95,93,92,66,"SMID,CRH,USLM,EXP,JHX,MLM,CPAC,VMC,CX,SUM,MDU,LOMA,RETO"
10,Utilities—Independent Power Producers,Utilities,109.72,94,53,41,82,"VST,NRG,TAC,WAVE"
11,Marine Shipping,Industrials,109.29,93,96,91,69,"NMM,GLBS,PSHG,GOGL,ESEA,SHIP,GASS,SB,GNK,EDRY,INSW,CPLP,EGLE,MATX,ASC,SBLK,SFL,TOPS,SMHI,CMRE,PXS,KEX,DAC,GSL,GRIN,NAT,PANL,PXSAP,CTRM,KNOP,DSX,ZIM"
12,Building Products & Equipment,Industrials,108.12,93,97,94,75,"IBP,ASPN,AZEK,BLDR,AWI,TREX,PGTI,WMS,JBI,GMS,CSL,DOOR,SSD,APT,NX,BXC,MAS,AAON,OC,LPX,APOG,JELD,ROCK,BECN,TGLS,CARR,SWIM,CSTE,PPIH,AEHL,VIEW"
13,Insuranceâ€”Property & Casualty,Financial Services,106.29,92,91,78,40,"ALL,AFG"
14,Real Estate—Development,Real Estate,105.93,91,95,98,95,"FOR,LSEA,FPH,XIN"
15,Insuranceâ€”Life,Financial Services,105.57,91,86,75,88,"AAME,AEL,AFL"
16,Copper,Basic Materials,105.03,90,47,59,87,"HBM,SCCO,FCX,ERO"
17,Industrial Distribution,Industrials,105.02,90,87,95,93,"CNM,DXPE,GIC,PKOH,GWW,FAST,FERG,AIT,TRNS,SITE,WSO,MSM,EVI,WCC,TITN"
18,Education & Training Services,Consumer Defensive,104.66,89,93,85,32,"LXEH,GOTU,APEI,STG,EDU,UTI,BEDU,TAL,AACG,AFYA,LINC,LRN,FEDU,STRA,PRDO,GHC,LOPE,LAUR,YQ,ATGE,VSTA,WAFU,COE,COUR,VTRU,AMBO,EDTK,CHGG,IH,EEIQ,SKIL,CLEU,TWOU"
19,Computer Hardware,Technology,104.62,88,92,62,79,"SMCI,DELL,OSS,PSTG,ANET,WDC,LOGI,NTAP,QMCO,DAKT,EBON,STX,ALOT,NNDM,QUBT,HPQ,INVE,KTCC,IONQ,SSYS,CRSR,SCKT,TACT,CAN,DDD,CRCT,DM,VLD,VJET"
20,Travel Services,Consumer Cyclical,102.83,88,80,95,85,"MMYT,TRIP,RCL,TZOO,DESP,TCOM,BKNG,EXPE,TNL,CCL,NCLH,LIND,YTRA,TOUR"
21,Insuranceâ€”Specialty,Financial Services,102.75,87,79,87,79,"AGO,AIZ,ACT,AMSF,AMBC"
22,Banks—Diversified,Financial Services,101.13,87,69,85,86,"BBVA,MUFG,UBS,WFC,JPM,SMFG,EWBC,C,BCS,BAC,CM,SAN,ING,BMO,BNS,RY,NWG,HSBC,NTB,TD"
23,Insuranceâ€”Diversified,Financial Services,100.9,86,69,72,83,"AIG,ACGL,AEG,ACGLN,ACGLO"
24,Specialty Industrial Machinery,Industrials,100.02,85,82,74,81,"TAYD,AMSC,GHM,PSN,GE,ETN,CR,TT,TNC,SPXC,PH,IR,LII,GTES,HWM,CSWI,KAI,ITT,SXI,PNR,NPO,EMR,GRC,CW,TWIN,XYL,DOV,FLS,AOS,RRX,GGG,AME,GTEC,EPAC,DCI,OTIS,NDSN,IEX,CMI,MWA,ROP,WTS,ITW,MIDD,B,FELE,GTLS,HI,THR,MMM,CYD,HON,ROK,HURC,GNRC,JBT,TRS,LXFR,HLIO,KRNT,OFLX,BWEN,TPIC,CVV,BLDP,SHPW"
25,Aluminum,Basic Materials,99.42,85,51,69,44,"CENX,CSTM,KALU,AA"
26,Railroads,Industrials,99.29,84,88,53,74,"FSTR,GBX,WAB,NSC,RAIL,CP,CSX,UNP,CNI,TRN,KIQ"
27,Medical Distribution,Healthcare,99.26,83,56,56,60,"OMI,MCK,PBH,CAH,PDCO,HSIC,GEG"
28,Business Equipment & Supplies,Industrials,99.14,83,95,96,93,"SCS,HNI,AVY,PBI,ACCO,EBF"
