Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Coal & Consumable Fuels,Energy,2120.29,99,99,99,67,CEIX
2,Oil & Gas Exploration & Production,Energy,771.83,99,98,98,93,"APA,BCEI,CNX,COP,CPE,CTRA,DVN,EOG,EQT,FANG,LPI,MRO,MTDR,MUR,OXY,PDCE,PVAC,PXD,RRC,SM,SWN,TALO"
3,Computer & Electronics Retail,Consumer Discretionary,674.97,98,99,99,99,"BBY,CONN,GME,RCII"
4,Oil & Gas Drilling,Energy,504.41,97,63,97,91,"HP,NBR,PTEN"
5,Department Stores,Consumer Discretionary,359.06,97,97,95,91,"JWN,M"
6,Publishing,Communication Services,284.84,96,93,93,86,"GCI,JW.A,MDP,NWS,NWSA,NYT,SCHL"
7,Tires & Rubber,Consumer Discretionary,241.74,95,91,65,88,GT
8,Other Diversified Financial Services,Financials,240.68,95,93,92,95,COOP
9,IT Consulting & Other Services,Information Technology,216.42,94,95,89,60,"ACN,CTSH,DXC,G,IBM,IT,NCR,PRFT,TDC,UIS"
10,Copper,Materials,209.53,93,75,93,99,FCX
11,Oil & Gas Storage & Transportation,Energy,207.2,93,65,69,33,"AM,DTM,ETRN,KMI,LPG,OKE,TRGP,WMB"
12,Oil & Gas Equipment & Services,Energy,193.37,92,9,82,73,"AROC,BKR,BOOM,CHX,CLB,DRQ,HAL,HLX,NOV,OII,OIS,PUMP,RES,SLB,SLCA,VTOL"
13,Integrated Oil & Gas,Energy,176.81,91,31,67,34,"CVX,HES,XOM"
14,Trucking,Industrials,173.0,91,81,34,69,"ARCB,CAR,HTLD,JBHT,KNX,LSTR,MRTN,ODFL,R,SAIA,WERN,XPO"
15,Oil & Gas Refining & Marketing,Energy,164.8,90,29,57,56,"GPRE,HFC,INT,MPC,PARR,PBF,PSX,REGI,REX,VLO"
16,Human Resource & Employment Services,Industrials,164.17,89,87,70,75,"ASGN,HSII,KELYA,KFY,MAN,NSP,RHI,TBI"
17,Real Estate Services,Real Estate,162.86,89,77,74,53,"CBRE,JLL,MMI,RLGY,RMAX"
