Rank,Ticker,Sector,Industry,Universe,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
1,SM,Energy,Oil & Gas Exploration & Production,S&P 600,3556.23,99,99,99,99
2,GME,Consumer Discretionary,Computer & Electronics Retail,S&P 400,2596.72,99,99,99,99
3,CEIX,Energy,Coal & Consumable Fuels,S&P 600,2120.29,99,99,99,69
4,LPI,Energy,Oil & Gas Exploration & Production,S&P 600,1642.15,99,99,99,97
5,VRTV,Industrials,Trading Companies & Distributors,S&P 600,1586.27,99,99,99,99
6,CAR,Industrials,Trucking,S&P 400,1511.64,99,98,95,99
7,MDP,Consumer Discretionary,Publishing,S&P 600,1149.85,99,97,99,92
8,MTDR,Energy,Oil & Gas Exploration & Production,S&P 600,1041.11,99,98,99,98
9,PVAC,Energy,Oil & Gas Exploration & Production,S&P 600,988.91,99,90,93,78
10,DVN,Energy,Oil & Gas Exploration & Production,S&P 500,972.78,99,97,97,89
11,AMEH,Health Care,Health Care Facilities,S&P 600,967.3,99,99,99,72
12,MRNA,Health Care,Biotechnology,S&P 500,906.12,99,99,99,95
13,RRC,Energy,Oil & Gas Exploration & Production,S&P 600,904.53,99,98,97,41
14,PRFT,Information Technology,IT Consulting & Other Services,S&P 600,807.56,99,98,94,67
15,NBR,Energy,Oil & Gas Drilling,S&P 600,791.03,98,78,96,99
16,JYNT,Health Care,Health Care Facilities,S&P 600,783.01,98,99,99,99
17,MRO,Energy,Oil & Gas Exploration & Production,S&P 500,769.06,98,90,95,91
18,PDCE,Energy,Oil & Gas Exploration & Production,S&P 600,767.66,98,98,97,97
19,SIG,Consumer Discretionary,Specialty Stores,S&P 600,763.41,98,99,99,99
20,M,Consumer Discretionary,Department Stores,S&P 600,744.35,98,98,94,93
21,BNED,Consumer Discretionary,Specialty Stores,S&P 600,730.39,98,99,99,98
22,CHS,Consumer Discretionary,Apparel Retail,S&P 600,702.11,98,98,99,86
23,MUR,Energy,Oil & Gas Exploration & Production,S&P 400,698.66,98,84,93,68
24,FANG,Energy,Oil & Gas Exploration & Production,S&P 500,692.56,98,90,93,91
25,CELH,Consumer Staples,Soft Drinks,S&P 600,691.27,98,99,98,99
26,ASIX,Materials,Commodity Chemicals,S&P 600,659.46,98,97,90,92
27,TRGP,Energy,Oil & Gas Storage & Transportation,S&P 400,657.28,98,95,96,90
28,BCEI,Energy,Oil & Gas Exploration & Production,S&P 600,650.55,98,92,93,84
29,CUBI,Financials,Regional Banks,S&P 600,642.87,97,97,98,96
30,SBNY,Financials,Regional Banks,S&P 400,631.51,97,96,95,95
31,OII,Energy,Oil & Gas Equipment & Services,S&P 600,595.64,97,90,97,88
32,PBF,Energy,Oil & Gas Refining & Marketing,S&P 600,590.18,97,24,29,77
33,HCI,Financials,Property & Casualty Insurance,S&P 600,582.11,97,95,95,54
34,GCI,Consumer Discretionary,Publishing,S&P 600,580.87,97,99,98,98
35,TBBK,Financials,Regional Banks,S&P 600,580.56,97,89,93,95
36,SGMS,Consumer Discretionary,Casinos & Gaming,S&P 400,540.6,97,95,98,97
37,WIRE,Industrials,Electrical Components & Equipment,S&P 600,540.39,97,84,50,58
38,APA,Energy,Oil & Gas Exploration & Production,S&P 500,529.01,97,57,71,76
39,TDC,Information Technology,IT Consulting & Other Services,S&P 400,527.31,97,95,95,95
40,CROX,Consumer Discretionary,Footwear,S&P 400,500.63,97,99,99,96
41,CHX,Energy,Oil & Gas Equipment & Services,S&P 400,498.6,97,78,94,89
42,TEAM,Information Technology,Application Software,Nasdaq 100,497.29,97,98,65,31
43,BOOT,Consumer Discretionary,Apparel Retail,S&P 600,492.05,96,98,98,98
44,ARCB,Industrials,Trucking,S&P 600,485.4,96,95,67,95
45,PTEN,Energy,Oil & Gas Drilling,S&P 600,475.55,96,73,96,80
46,ECHO,Industrials,Air Freight & Logistics,S&P 600,467.26,96,96,10,36
47,FTNT,Information Technology,Systems Software,S&P 500,466.95,96,98,95,72
48,CCRN,Health Care,Health Care Services,S&P 600,464.58,96,98,94,86
49,DFIN,Financials,Financial Exchanges & Data,S&P 600,463.19,96,96,98,98
50,IT,Information Technology,IT Consulting & Other Services,S&P 500,456.74,96,97,94,67
51,OXY,Energy,Oil & Gas Exploration & Production,S&P 500,450.88,96,82,92,79
52,SPSC,Information Technology,Application Software,S&P 600,428.7,96,96,27,43
53,LTHM,Materials,Diversified Chemicals,S&P 600,427.14,96,97,90,90
54,UNFI,Consumer Staples,Food Retail,S&P 600,426.42,96,93,70,88
55,AFG,Financials,Multi-line Insurance,S&P 400,422.56,96,97,97,95
56,MOV,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",S&P 600,419.62,95,96,94,96
57,DCOM,Financials,Thrifts & Mortgage Finance,S&P 600,412.07,95,92,95,96
58,CYTK,Health Care,Biotechnology,S&P 600,403.56,95,94,82,58
59,GCO,Consumer Discretionary,Apparel Retail,S&P 600,402.69,95,93,97,96
60,JLL,Real Estate,Real Estate Services,S&P 400,401.34,95,94,88,68
61,CASH,Financials,Thrifts & Mortgage Finance,S&P 600,399.53,95,91,91,89
62,COP,Energy,Oil & Gas Exploration & Production,S&P 500,399.03,95,71,81,51
63,DDD,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 600,391.24,95,99,98,95
64,ENTA,Health Care,Biotechnology,S&P 600,364.44,95,75,2,9
65,SIVB,Financials,Regional Banks,S&P 500,359.48,95,94,92,93
66,EOG,Energy,Oil & Gas Exploration & Production,S&P 500,357.72,95,73,86,73
67,PACW,Financials,Regional Banks,S&P 400,353.52,95,90,90,90
68,VICR,Industrials,Electrical Components & Equipment,S&P 600,352.47,95,92,71,34
69,MYRG,Industrials,Construction & Engineering,S&P 600,352.31,95,97,96,84
70,GPRE,Energy,Oil & Gas Refining & Marketing,S&P 600,344.98,94,97,96,96
71,CENX,Materials,Aluminum,S&P 600,344.45,94,47,63,96
72,PLCE,Consumer Discretionary,Apparel Retail,S&P 600,339.12,94,93,97,95
73,CRVL,Health Care,Health Care Services,S&P 600,338.3,94,97,81,63
74,PXD,Energy,Oil & Gas Exploration & Production,S&P 500,338.11,94,67,70,73
75,ALB,Materials,Specialty Chemicals,S&P 500,335.97,94,96,91,81
76,AYI,Industrials,Electrical Components & Equipment,S&P 400,333.75,94,73,78,85
77,DKS,Consumer Discretionary,Specialty Stores,S&P 400,333.23,94,98,92,82
78,GXO,Industrials,Air Freight & Logistics,S&P 400,328.83,94,93,15,5
79,APPS,Information Technology,Application Software,S&P 400,325.64,94,67,97,99
80,HES,Energy,Integrated Oil & Gas,S&P 500,321.5,94,48,83,65
81,MPC,Energy,Oil & Gas Refining & Marketing,S&P 500,320.1,94,76,72,69
82,EZPW,Financials,Consumer Finance,S&P 600,319.23,94,77,39,8
83,SYNA,Information Technology,Semiconductors,S&P 400,316.67,94,96,89,83
84,HAYN,Materials,Steel,S&P 600,316.36,93,83,92,51
85,MGM,Consumer Discretionary,Casinos & Gaming,S&P 500,314.89,93,75,89,93
86,PUMP,Energy,Oil & Gas Equipment & Services,S&P 600,313.43,93,12,60,84
87,RES,Energy,Oil & Gas Equipment & Services,S&P 600,310.88,93,8,50,63
88,OKE,Energy,Oil & Gas Storage & Transportation,S&P 500,308.95,93,80,84,71
89,JEF,Financials,Multi-Sector Holdings,S&P 400,306.07,93,90,82,85
90,HCC,Materials,Diversified Metals & Mining,S&P 600,305.99,93,80,16,13
91,RHI,Industrials,Human Resource & Employment Services,S&P 500,305.45,93,91,72,76
92,RAVN,Industrials,Industrial Conglomerates,S&P 600,302.68,93,94,97,71
93,CLF,Materials,Steel,S&P 400,302.44,93,96,98,97
94,PIPR,Financials,Investment Banking & Brokerage,S&P 600,302.25,93,82,74,75
95,LPX,Materials,Forest Products,S&P 400,301.85,93,86,72,97
96,SLB,Energy,Oil & Gas Equipment & Services,S&P 500,300.68,93,45,77,56
97,DSPG,Information Technology,Semiconductors,S&P 600,299.27,93,92,10,1
98,SSTK,Consumer Discretionary,Specialized Consumer Services,S&P 600,298.54,92,95,93,81
99,KFY,Industrials,Human Resource & Employment Services,S&P 600,297.28,92,94,90,91
100,SLCA,Energy,Oil & Gas Equipment & Services,S&P 600,294.34,92,36,97,99
101,NUE,Materials,Steel,S&P 500,293.16,92,94,94,83
102,PNFP,Financials,Regional Banks,S&P 400,292.78,92,88,87,86
103,ALEX,Real Estate,Diversified REITs,S&P 600,290.78,92,90,63,45
104,RPT,Real Estate,Retail REITs,S&P 600,288.39,92,83,91,87
105,GNRC,Industrials,Electrical Components & Equipment,S&P 500,287.64,92,96,97,92
106,CBRE,Real Estate,Real Estate Services,S&P 500,283.91,92,87,86,81
107,IPG,Communication Services,Advertising,S&P 500,283.14,92,91,88,64
108,ACLS,Information Technology,Semiconductor Equipment,S&P 600,283.0,92,94,39,73
109,RPAI,Real Estate,Retail REITs,S&P 600,281.32,92,86,87,82
110,HAL,Energy,Oil & Gas Equipment & Services,S&P 500,275.0,92,27,67,56
111,LSCC,Information Technology,Semiconductors,S&P 400,274.19,91,95,76,86
112,BKR,Energy,Oil & Gas Equipment & Services,S&P 500,273.3,91,58,35,26
113,CATO,Consumer Discretionary,Apparel Retail,S&P 600,273.11,91,94,93,68
114,GTLS,Industrials,Industrial Machinery,S&P 600,271.06,91,97,88,96
115,F,Consumer Discretionary,Automobile Manufacturers,S&P 500,266.48,91,75,87,75
116,CUTR,Health Care,Health Care Equipment,S&P 600,265.96,91,95,98,76
117,STAR,Real Estate,Diversified REITs,S&P 600,265.44,91,97,93,64
118,WRLD,Financials,Consumer Finance,S&P 600,263.84,91,95,96,50
119,WD,Financials,Thrifts & Mortgage Finance,S&P 600,263.51,91,83,76,91
120,UFS,Materials,Paper Products,S&P 600,263.42,91,91,96,74
121,PCTY,Information Technology,Application Software,S&P 400,262.56,91,95,45,47
122,PPC,Consumer Staples,Packaged Foods & Meats,S&P 400,261.83,91,88,27,45
123,SFBS,Financials,Regional Banks,S&P 600,261.72,91,92,88,79
124,MAC,Real Estate,Retail REITs,S&P 400,260.93,91,91,93,49
125,SCSC,Information Technology,Technology Distributors,S&P 600,259.93,90,81,14,36
126,HAFC,Financials,Regional Banks,S&P 600,259.07,90,85,81,89
127,ANGO,Health Care,Health Care Equipment,S&P 600,257.55,90,93,96,93
128,VRTS,Financials,Asset Management & Custody Banks,S&P 600,255.78,90,93,80,87
